band	verdict	pair	top1	question
in	CONTRADICTION	NO/NO	0.86075944	Which litmus tests are currently bound in litmus-bindings.yaml?
in	UNSUPPORTED	NO/YES	0.7509292	What telemetry thresholds must be green before the concurrency stage can be lifted?
in	CONTRADICTION	NO/NO	0.75596386	How is Vault unsealed when the stack comes up?
in	SUPPORTED	YES/NO	0.7613964	What statuses can an unknown event have?
in	UNSUPPORTED	NO/YES	0.7952232	Which Vault policy grants the git mirror its push credential, and what paths does it allow?
in	UNSUPPORTED	NO/YES	0.6423897	Which vector store backs the expert index?
in	CONTRADICTION	YES/YES	0.74296826	What is the minimum Windows version supported for a Tillandsias host?
in	SUPPORTED	YES/NO	0.76590574	What steps does the release GitHub Actions workflow run?
in	SUPPORTED	YES/NO	0.7763242	Which tracing levels reach the Windows Event Log?
in	UNSUPPORTED	NO/YES	0.74924487	How do I chain Squid to my company's outbound proxy?
in	SUPPORTED	YES/NO	0.68269163	Should I work out a packet's residual centicolons by hand?
in	UNSUPPORTED	NO/YES	0.6343733	What Apple Developer Team ID do we sign and notarize with?
in	SUPPORTED	YES/NO	0.74652684	spec id format?
in	UNSUPPORTED	NO/YES	0.70660424	Where does the agent_id in a lease come from — can I compose it myself?
in	UNSUPPORTED	NO/YES	0.79938835	How fast does an 'instant' litmus test have to be, and what may it do?
in	UNSUPPORTED	NO/YES	0.7393024	What is the byte limit for total cheatsheet size?
in	CONTRADICTION	NO/NO	0.74363065	Which opencode release is baked into the current forge image?
in	CONTRADICTION	YES/YES	0.75688607	Which packages does the forge image install into the container?
in	UNSUPPORTED	NO/YES	0.7673471	What is the OpenCode Web session cookie called and how long does the browser keep it?
in	SUPPORTED	YES/NO	0.72792923	What does the release workflow actually publish?
in	CONTRADICTION	NO/NO	0.7930709	Which panels are in the CentiColon convergence dashboard?
in	UNSUPPORTED	NO/YES	0.78081954	Where does Vault store the GitHub token, and how long do the per-container tokens live?
in	UNSUPPORTED	NO/YES	0.733643	Does Tillandsias run on FreeBSD?
in	UNSUPPORTED	NO/YES	0.76814544	enclave service names and ports?
in	CONTRADICTION	NO/NO	0.7782607	How do I register a new litmus test so scripts/run-litmus-test.sh picks it up?
in	CONTRADICTION	NO/NO	0.61512446	What does the ExecOneShot control-wire operation do?
in	CONTRADICTION	NO/NO	0.7586986	Which branch do checkpoints go to and what should the commit subject look like?
in	CONTRADICTION	NO/NO	0.6205684	What's the one-sentence core principle behind all of this?
in	UNSUPPORTED	NO/YES	0.7510966	Where does the curl installer put the binary if ~/.local/bin isn't on my PATH?
in	SUPPORTED	YES/NO	0.7295071	Which forge paths are RAM-backed, and what size caps do they have?
in	UNSUPPORTED	NO/YES	0.7272752	Where does the git author name and email live — same place as the token?
in	UNSUPPORTED	NO/YES	0.72152376	Why do agents keep undoing each other's formatting?
in	CONTRADICTION	NO/NO	0.70950335	I've got a 6 GB GPU. Which models get pre-pulled and which are lazy?
in	CONTRADICTION	NO/NO	0.84417474	What does the cookie-auth-best-practices cheatsheet recommend?
in	UNSUPPORTED	NO/YES	0.69573295	scanner default watch dir?
in	CONTRADICTION	NO/NO	0.7266253	What command starts an autonomous session, and what must I read first?
in	SUPPORTED	YES/NO	0.81735545	Which model does the inference container serve by default?
in	UNSUPPORTED	NO/YES	0.675144	What's the right way to change a packet's status field?
in	CONTRADICTION	NO/NO	0.6449614	I hit a broken test while doing something unrelated. Am I obliged to file it?
in	CONTRADICTION	NO/NO	0.59792954	How does a normal user end up on a stable build instead of a broken daily?
